LAGER LISTA  ;;;;;;;;;;;;;;;;;;;;
Rbr.;MT;NadGrupa;Grupa;Šifra robe;Barcode;KatBroj;Naziv robe;Dob;NazivDob;Polica;Pretinac;JMJ;Stanje;PNBC;VPC;MPC;TD_Sifra;TD_ID;Top;Akt
4849;50;*Bez*;*Bez*;09060;819.824;819.824;GARNITURA VIJAKA GLAVE VW ;;;;;KOM;1,00;16,67;25,64;30,00;;0,00;;D
4928;50;*Bez*;*Bez*;11473;3322937429196;JTE1052;KRAJNICA VW/GOLF V/A3/PASSAT 2005- LX ;;;;;KOM;1,00;19,25;30,06;35,17;;0,00;;D
4929;50;*Bez*;*Bez*;11474;3322937429202;JTE1053;KRAJNICA VW/GOLF V/A3/PASSAT 2005-DX ;;;;;KOM;2,00;20,19;33,33;39,00;;0,00;;D
4996;50;*Bez*;*Bez*;11839;5413978173310;49977(JTC969);RAME MERC W203 GORNJA DX ;;;;;KOM;1,00;76,00;91,20;106,70;;0,00;;D
5094;50;*Bez*;*Bez*;13830;4019064017288;21728;MANŽETNA PRI MJENJAČU MERC VITO W638 ;;;;;KOM;1,00;10,71;15,30;17,90;;0,00;;D
5165;50;*Bez*;*Bez*;15605;108032;108032;PLASTIKA ŠIPKE ULJA GOLF 2,0 BEN ;;;;;KOM;1,00;2,78;4,27;5,00;;0,00;;D
5301;50;*Bez*;*Bez*;14345;7610972000026;1011;MJERAČ ANTIFRIZA ;;;;;KOM;2,00;13,89;21,37;25,00;;0,00;;D
5310;50;*Bez*;*Bez*;14363;5055107436110;5W-30;MOBIL 1 5W-30 ESP FORMULA 1/1 ;;;;;KOM;17,00;13,8192;18,80;22,00;;0,00;;D
5529;50;*Bez*;*Bez*;08757;4011558164300;C37153;FILTER ZRAKA ;;;;;KOM;1,00;13,99;22,57;26,41;;0,00;;D
5542;50;*Bez*;*Bez*;08778;4011558207007;C38145;FILTER ZRAKA ;;;;;KOM;2,00;19,0733;31,31;36,63;;0,00;;D
5550;50;*Bez*;*Bez*;08787;4011558367206;C15143/1(C15143);FILTER ZRAKA BMW E39 2,5/3,0D ;;;;;KOM;1,00;31,82;53,66;62,78;;0,00;;D
5568;50;*Bez*;*Bez*;11557;5012445833865;JBJ122;KUGLA BMW E36 VANJSKA 90- ;;;;;KOM;1,00;22,00;24,20;28,31;;0,00;;D
5569;50;*Bez*;120;11559;BW-75;BW-75;KUGLA BMW MAYER BW-75 ;;;;;KOM;1,00;21,00;23,10;27,03;;0,00;;D
5577;50;*Bez*;*Bez*;11570;FO-101K;FO-101K;KUGLA FORD FIESTA 94- LX/DX ;;;;;KOM;1,00;13,50;16,88;19,75;;0,00;;D
5587;50;*Bez*;*Bez*;11589;5012759348918;TC1316;KUGLA GOLF V 03- LX ;;;;;KOM;2,00;18,00;22,50;26,33;;0,00;;D
5588;50;*Bez*;*Bez*;11590;5012759348925;TC1317;KUGLA GOLF V 03-DX ;;;;;KOM;2,00;18,00;24,00;28,08;;0,00;;D
5595;50;*Bez*;*Bez*;11600;1072602;1072602;KUGLA MERC. ;;;;;KOM;2,00;25,00;38,46;45,00;;0,00;;D
5652;50;*Bez*;*Bez*;19129;4046001167546;30-2002;VIJAK KARTERA MERC 123 ;;;;;KOM;6,00;1,00;1,50;1,76;;0,00;;D
5848;50;*Bez*;*Bez*;06616;028103491;108737015;CIJEV ODUŠKA ZRAKA POLO/PASAT/GOLF 1.9 TDI ;;;;;KOM;1,00;21,11;32,48;38,00;;0,00;;D
5989;50;*Bez*;*Bez*;16986;26323;26323;SAJLA RUČNE KOČ GOLF 3 95-97(DISK)LX/DX ;;;;;KOM;2,00;8,325;12,82;15,00;;0,00;;D
6077;50;*Bez*;*Bez*;11608;1887503;1887503;KUGLA MERC. SPRINTER GORNJA L+D ;;;;;KOM;1,00;15,00;20,00;23,40;;0,00;;D
6079;50;*Bez*;*Bez*;11614;8435130313645;93-01405;KUGLA MERCEDES MB 90 ;;;;;KOM;1,00;17,00;18,70;21,88;;0,00;;D
6123;50;*Bez*;*Bez*;12409;4012801077910;6006.2RSR;LEŽAJ POLUOSOVINE CITROEN,PEUGEOT ;;;;;KOM;3,00;2,69;4,00;4,68;;0,00;;D
6126;50;*Bez*;*Bez*;12412;4011442103231;5711;LEŽAJ PRE. TOČKA AUDI 100 88-94 ;;;;;KOM;1,00;79,50;80,30;93,95;;0,00;;D
6130;50;*Bez*;*Bez*;12417;4014870000943;713610610;LEŽAJ PREDNJEG KOTAČA GOLF V CADDY 2004- ;;;;;KOM;3,00;79,23;121,90;142,62;;0,00;;D
6153;50;*Bez*;*Bez*;12454;4011442100896;5012;LEŽAJ RUVILLE 5012 ;;;;;KOM;1,00;38,50;57,26;66,99;;0,00;;D
6170;50;*Bez*;*Bez*;08819;4011558193508;C301353;FILTER ZRAKA MANN ;;;;;KOM;1,00;43,66;70,42;82,39;;0,00;;D
6182;50;*Bez*;*Bez*;08832;4011558215408;C14114;FILTER ZRAKA MERC W203/204/W211 ;;;;;KOM;1,00;27,20;43,87;51,33;;0,00;;D
6200;50;*Bez*;*Bez*;11616;2766602;2766602;KUGLA MERC ;;;;;KOM;1,00;37,00;44,40;51,95;;0,00;;D
6209;50;*Bez*;*Bez*;11630;5012759958520;TC629(6U0407365);KUGLA ŠKODA FAVORIT/FELICIA LX/DX ;;;;;KOM;3,00;9,00;9,90;11,58;;0,00;;D
6328;50;*Bez*;*Bez*;12517;4018400018989;67/05(5127)713667050;LEŽAJ TOČKA MERC. ;;;;;KOM;1,00;47,00;57,54;67,32;;0,00;;D
6338;50;*Bez*;*Bez*;12534;5986890000014;102832CN5;LEŽAJ TOČKA ZADNJI GOLF ;;;;;KOM;1,00;12,00;14,53;17,00;;0,00;;D
6362;50;*Bez*;*Bez*;17799;3322937297443;JTS364;STABILIZATOR SHARAN GALAXY LX/DX ;;;;;KOM;1,00;28,00;30,00;35,10;;0,00;;D
